Indicator,S.No.,Parameters,Type,District,Value
M15 [Laboratory Testing],15.3.4.c,Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,Ariyalur,5280.0
M15 [Laboratory Testing],15.3.4.d,Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,Ariyalur,11.0
M15 [Laboratory Testing],15.4.1,Widal tests - Number Tested,TOTAL,Ariyalur,38507.0
M15 [Laboratory Testing],15.4.2,Widal tests - Number Positive,TOTAL,Ariyalur,4594.0
M15 [Laboratory Testing],15.5.1,Radiology - X-ray,TOTAL,Ariyalur,19652.0
M15 [Laboratory Testing],15.5.2,Radiology - Ultrasonography (USG),TOTAL,Ariyalur,11592.0
M16 [Details of deaths reported with probable causes:],16.1,Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,Ariyalur,5.0
M16 [Details of deaths reported with probable causes:],16.2.1,Infant Deaths up to 4 weeks due to Sepsis,TOTAL,Ariyalur,7.0
M16 [Details of deaths reported with probable causes:],16.2.2,Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,Ariyalur,6.0
M16 [Details of deaths reported with probable causes:],16.2.3,Infant Deaths up to 4 weeks due to Other causes,TOTAL,Ariyalur,6.0
M16 [Details of deaths reported with probable causes:],16.3.1,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.3.2,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.3.3,Number of Infant Deaths (1 -12 months) due to Fever related,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.3.4,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.3.5,Number of Infant Deaths (1 -12 months) due to Others,TOTAL,Ariyalur,5.0
M16 [Details of deaths reported with probable causes:],16.4.1,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,Ariyalur,1.0
M16 [Details of deaths reported with probable causes:],16.4.2,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.4.3,Number of Child Deaths (1 -5 years) due to Fever related,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.4.4,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.4.5,Number of Child Deaths (1 -5 years) due to Others,TOTAL,Ariyalur,13.0
M16 [Details of deaths reported with probable causes:],16.5.1,Number of Maternal Deaths due to Bleeding,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.5.2,Number of Maternal Deaths due to High fever,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.5.3,Number of Maternal Deaths due to Abortion,TOTAL,Ariyalur,1.0
M16 [Details of deaths reported with probable causes:],16.5.4,Number of Maternal Deaths due to Obstructed/prolonged labour,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.5.5,Number of Maternal Deaths due to Severe hypertesnion/fits,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.5.6,Number of Maternal Deaths due to Other Causes (including causes not known),TOTAL,Ariyalur,4.0
M16 [Details of deaths reported with probable causes:],16.6,Total Facility Based Maternal Death Reviews (FBMDR) done,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.7.1,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,Ariyalur,1.0
M16 [Details of deaths reported with probable causes:],16.7.2,Number of Adolscent / Adult deaths due to Tuberculosis,TOTAL,Ariyalur,6.0
M16 [Details of deaths reported with probable causes:],16.7.3,Number of Adolscent / Adult deaths due to Respiratory diseases including infections (other than TB),TOTAL,Ariyalur,16.0
M16 [Details of deaths reported with probable causes:],16.7.4,Number of Adolscent / Adult deaths due to Other Fever Related,TOTAL,Ariyalur,11.0
M16 [Details of deaths reported with probable causes:],16.7.5,Number of Adolscent / Adult deaths due to HIV/AIDS,TOTAL,Ariyalur,8.0
M16 [Details of deaths reported with probable causes:],16.7.6,Number of Adolscent / Adult deaths due to Heart disease/Hypertension related,TOTAL,Ariyalur,515.0
M16 [Details of deaths reported with probable causes:],16.7.7,Number of Adolscent / Adult deaths due to Cancer,TOTAL,Ariyalur,84.0
M16 [Details of deaths reported with probable causes:],16.7.8,Number of Adolscent / Adult deaths due to Neurological disease including strokes,TOTAL,Ariyalur,68.0
M16 [Details of deaths reported with probable causes:],16.7.9,Number of Adolscent / Adult deaths due to Accidents/Burn cases,TOTAL,Ariyalur,114.0
M16 [Details of deaths reported with probable causes:],16.7.10,Number of Adolscent / Adult deaths due to Suicide,TOTAL,Ariyalur,204.0
M16 [Details of deaths reported with probable causes:],16.7.11,Number of Adolscent / Adult deaths due to Animal bites and stings,TOTAL,Ariyalur,10.0
M16 [Details of deaths reported with probable causes:],16.7.12,Number of Adolscent / Adult deaths due to Known Acute Disease,TOTAL,Ariyalur,80.0
M16 [Details of deaths reported with probable causes:],16.7.13,Number of Adolscent / Adult deaths due to Known Chronic Disease,TOTAL,Ariyalur,574.0
M16 [Details of deaths reported with probable causes:],16.7.14,Number of Adolscent / Adult deaths due to Causes not known,TOTAL,Ariyalur,843.0
M16 [Details of deaths reported with probable causes:],16.8.1,Number of Deaths due to Malaria- Plasmodium Vivax,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.8.2,Number of Deaths due to Malaria- Plasmodium Falciparum,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.8.3,Number of Deaths due to Kala Azar,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.8.4,Number of Deaths due to Dengue,TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.8.5,Number of Deaths due to Acute Encephelitis Syndrome (AES),TOTAL,Ariyalur,0.0
M16 [Details of deaths reported with probable causes:],16.8.6,Number of Deaths due to Japanese Encephalitis (JE),TOTAL,Ariyalur,0.0
M17 [Vaccines],17.1,Vaccine - DPT,1. Balance From Previous Month,Ariyalur,56279.0
M17 [Vaccines],17.1,Vaccine - DPT,2. Stocks Received,Ariyalur,19500.0
M17 [Vaccines],17.1,Vaccine - DPT,3. Unusable Stock,Ariyalur,3286.0
M17 [Vaccines],17.1,Vaccine - DPT,4. Stock Distributed,Ariyalur,13079.0
M17 [Vaccines],17.1,Vaccine - DPT,5. Total Stock,Ariyalur,59414.0
M17 [Vaccines],17.2,Vaccine - Pentavalent,1. Balance From Previous Month,Ariyalur,133740.0
M17 [Vaccines],17.2,Vaccine - Pentavalent,2. Stocks Received,Ariyalur,27360.0
M17 [Vaccines],17.2,Vaccine - Pentavalent,3. Unusable Stock,Ariyalur,0.0
M17 [Vaccines],17.2,Vaccine - Pentavalent,4. Stock Distributed,Ariyalur,30430.0
M17 [Vaccines],17.2,Vaccine - Pentavalent,5. Total Stock,Ariyalur,130670.0
M17 [Vaccines],17.3,Vaccine - OPV,1. Balance From Previous Month,Ariyalur,226164.0
M17 [Vaccines],17.3,Vaccine - OPV,2. Stocks Received,Ariyalur,37500.0
M17 [Vaccines],17.3,Vaccine - OPV,3. Unusable Stock,Ariyalur,11071.0
M17 [Vaccines],17.3,Vaccine - OPV,4. Stock Distributed,Ariyalur,30629.0
M17 [Vaccines],17.3,Vaccine - OPV,5. Total Stock,Ariyalur,221964.0
M17 [Vaccines],17.4,Vaccine - TT,1. Balance From Previous Month,Ariyalur,99716.0
M17 [Vaccines],17.4,Vaccine - TT,2. Stocks Received,Ariyalur,23000.0
M17 [Vaccines],17.4,Vaccine - TT,3. Unusable Stock,Ariyalur,3548.0
M17 [Vaccines],17.4,Vaccine - TT,4. Stock Distributed,Ariyalur,23170.0
M17 [Vaccines],17.4,Vaccine - TT,5. Total Stock,Ariyalur,95998.0
M17 [Vaccines],17.5,Vaccine - DT,1. Balance From Previous Month,Ariyalur,0.0
M17 [Vaccines],17.5,Vaccine - DT,2. Stocks Received,Ariyalur,0.0
M17 [Vaccines],17.5,Vaccine - DT,3. Unusable Stock,Ariyalur,0.0
M17 [Vaccines],17.5,Vaccine - DT,4. Stock Distributed,Ariyalur,0.0
M17 [Vaccines],17.5,Vaccine - DT,5. Total Stock,Ariyalur,0.0
M17 [Vaccines],17.6,Vaccine - BCG,1. Balance From Previous Month,Ariyalur,55048.0
M17 [Vaccines],17.6,Vaccine - BCG,2. Stocks Received,Ariyalur,13000.0
M17 [Vaccines],17.6,Vaccine - BCG,3. Unusable Stock,Ariyalur,8779.0
M17 [Vaccines],17.6,Vaccine - BCG,4. Stock Distributed,Ariyalur,4882.0
M17 [Vaccines],17.6,Vaccine - BCG,5. Total Stock,Ariyalur,54387.0
M17 [Vaccines],17.7,Vaccine - Measles,1. Balance From Previous Month,Ariyalur,34883.0
M17 [Vaccines],17.7,Vaccine - Measles,2. Stocks Received,Ariyalur,0.0
M17 [Vaccines],17.7,Vaccine - Measles,3. Unusable Stock,Ariyalur,0.0
M17 [Vaccines],17.7,Vaccine - Measles,4. Stock Distributed,Ariyalur,3.0
M17 [Vaccines],17.7,Vaccine - Measles,5. Total Stock,Ariyalur,34880.0
M17 [Vaccines],17.8,Vaccine - JE,1. Balance From Previous Month,Ariyalur,57223.0
M17 [Vaccines],17.8,Vaccine - JE,2. Stocks Received,Ariyalur,19250.0
M17 [Vaccines],17.8,Vaccine - JE,3. Unusable Stock,Ariyalur,5992.0
M17 [Vaccines],17.8,Vaccine - JE,4. Stock Distributed,Ariyalur,11712.0
M17 [Vaccines],17.8,Vaccine - JE,5. Total Stock,Ariyalur,58769.0
M17 [Vaccines],17.9,Vaccine - Hepatitis B,1. Balance From Previous Month,Ariyalur,22677.0
M17 [Vaccines],17.9,Vaccine - Hepatitis B,2. Stocks Received,Ariyalur,5500.0
M17 [Vaccines],17.9,Vaccine - Hepatitis B,3. Unusable Stock,Ariyalur,1531.0
M17 [Vaccines],17.9,Vaccine - Hepatitis B,4. Stock Distributed,Ariyalur,4067.0
M17 [Vaccines],17.9,Vaccine - Hepatitis B,5. Total Stock,Ariyalur,1712.0
M17 [Vaccines],17.1,Vaccine - Typhoid,1. Balance From Previous Month,Ariyalur,0.0
M17 [Vaccines],17.1,Vaccine - Typhoid,2. Stocks Received,Ariyalur,0.0
M17 [Vaccines],17.1,Vaccine - Typhoid,3. Unusable Stock,Ariyalur,0.0
M17 [Vaccines],17.1,Vaccine - Typhoid,4. Stock Distributed,Ariyalur,0.0
M17 [Vaccines],17.1,Vaccine - Typhoid,5. Total Stock,Ariyalur,0.0
M17 [Vaccines],17.11,Vaccine - Vitamin K,1. Balance From Previous Month,Ariyalur,5946.0
M17 [Vaccines],17.11,Vaccine - Vitamin K,2. Stocks Received,Ariyalur,5210.0
M17 [Vaccines],17.11,Vaccine - Vitamin K,3. Unusable Stock,Ariyalur,76.0
M17 [Vaccines],17.11,Vaccine - Vitamin K,4. Stock Distributed,Ariyalur,6188.0
M17 [Vaccines],17.11,Vaccine - Vitamin K,5. Total Stock,Ariyalur,4894.0
M17 [Vaccines],17.12,Rotavirus,1. Balance From Previous Month,Ariyalur,47030.0
M17 [Vaccines],17.12,Rotavirus,2. Stocks Received,Ariyalur,31700.0
M17 [Vaccines],17.12,Rotavirus,3. Unusable Stock,Ariyalur,0.0
M17 [Vaccines],17.12,Rotavirus,4. Stock Distributed,Ariyalur,30870.0
M17 [Vaccines],17.12,Rotavirus,5. Total Stock,Ariyalur,47860.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,1. Balance From Previous Month,Ariyalur,17000.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,2. Stocks Received,Ariyalur,30000.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,3. Unusable Stock,Ariyalur,0.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,4. Stock Distributed,Ariyalur,30400.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,5. Total Stock,Ariyalur,16600.0
M17 [Vaccines],17.14,Measles Rubella (MR),1. Balance From Previous Month,Ariyalur,37920.0
M17 [Vaccines],17.14,Measles Rubella (MR),2. Stocks Received,Ariyalur,37500.0
M17 [Vaccines],17.14,Measles Rubella (MR),3. Unusable Stock,Ariyalur,0.0
M17 [Vaccines],17.14,Measles Rubella (MR),4. Stock Distributed,Ariyalur,38230.0
M17 [Vaccines],17.14,Measles Rubella (MR),5. Total Stock,Ariyalur,38630.0
M18 [Family Planning],18.1,IUD 380 A,1. Balance From Previous Month,Ariyalur,17194.0
M18 [Family Planning],18.1,IUD 380 A,2. Stocks Received,Ariyalur,2400.0
M18 [Family Planning],18.1,IUD 380 A,3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.1,IUD 380 A,4. Stock Distributed,Ariyalur,3303.0
M18 [Family Planning],18.1,IUD 380 A,5. Total Stock,Ariyalur,16291.0
M18 [Family Planning],18.2,IUD 375 A,1. Balance From Previous Month,Ariyalur,24008.0
M18 [Family Planning],18.2,IUD 375 A,2. Stocks Received,Ariyalur,600.0
M18 [Family Planning],18.2,IUD 375 A,3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.2,IUD 375 A,4. Stock Distributed,Ariyalur,752.0
M18 [Family Planning],18.2,IUD 375 A,5. Total Stock,Ariyalur,23856.0
M18 [Family Planning],18.3,Condoms,1. Balance From Previous Month,Ariyalur,802437.0
M18 [Family Planning],18.3,Condoms,2. Stocks Received,Ariyalur,54000.0
M18 [Family Planning],18.3,Condoms,3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.3,Condoms,4. Stock Distributed,Ariyalur,41015.0
M18 [Family Planning],18.3,Condoms,5. Total Stock,Ariyalur,815422.0
M18 [Family Planning],18.4,Oral Contraceptive,1. Balance From Previous Month,Ariyalur,134741.0
M18 [Family Planning],18.4,Oral Contraceptive,2. Stocks Received,Ariyalur,4000.0
M18 [Family Planning],18.4,Oral Contraceptive,3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.4,Oral Contraceptive,4. Stock Distributed,Ariyalur,1992.0
M18 [Family Planning],18.4,Oral Contraceptive,5. Total Stock,Ariyalur,136749.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,1. Balance From Previous Month,Ariyalur,20660.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,2. Stocks Received,Ariyalur,300.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,4. Stock Distributed,Ariyalur,35.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,5. Total Stock,Ariyalur,20925.0
M18 [Family Planning],18.6,Centchroman weekly pills,1. Balance From Previous Month,Ariyalur,30312.0
M18 [Family Planning],18.6,Centchroman weekly pills,2. Stocks Received,Ariyalur,1800.0
M18 [Family Planning],18.6,Centchroman weekly pills,3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.6,Centchroman weekly pills,4. Stock Distributed,Ariyalur,446.0
M18 [Family Planning],18.6,Centchroman weekly pills,5. Total Stock,Ariyalur,31666.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),1. Balance From Previous Month,Ariyalur,13189.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),2. Stocks Received,Ariyalur,2160.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),4. Stock Distributed,Ariyalur,421.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),5. Total Stock,Ariyalur,14928.0
M18 [Family Planning],18.8,Tubal rings,1. Balance From Previous Month,Ariyalur,6289.0
M18 [Family Planning],18.8,Tubal rings,2. Stocks Received,Ariyalur,1965.0
M18 [Family Planning],18.8,Tubal rings,3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.8,Tubal rings,4. Stock Distributed,Ariyalur,925.0
M18 [Family Planning],18.8,Tubal rings,5. Total Stock,Ariyalur,7329.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),1. Balance From Previous Month,Ariyalur,7647.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),2. Stocks Received,Ariyalur,1950.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),3. Unusable Stock,Ariyalur,0.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),4. Stock Distributed,Ariyalur,2022.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),5. Total Stock,Ariyalur,7575.0
M19 [Other Items],19.1,Gloves,1. Balance From Previous Month,Ariyalur,146780.0
M19 [Other Items],19.1,Gloves,2. Stocks Received,Ariyalur,78840.0
M19 [Other Items],19.1,Gloves,3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.1,Gloves,4. Stock Distributed,Ariyalur,72449.0
M19 [Other Items],19.1,Gloves,5. Total Stock,Ariyalur,153171.0
M19 [Other Items],19.2,MVA Syringes,1. Balance From Previous Month,Ariyalur,32.0
M19 [Other Items],19.2,MVA Syringes,2. Stocks Received,Ariyalur,2.0
M19 [Other Items],19.2,MVA Syringes,3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.2,MVA Syringes,4. Stock Distributed,Ariyalur,0.0
M19 [Other Items],19.2,MVA Syringes,5. Total Stock,Ariyalur,34.0
M19 [Other Items],19.3,Tab. Fluconazole,1. Balance From Previous Month,Ariyalur,19537.0
M19 [Other Items],19.3,Tab. Fluconazole,2. Stocks Received,Ariyalur,15150.0
M19 [Other Items],19.3,Tab. Fluconazole,3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.3,Tab. Fluconazole,4. Stock Distributed,Ariyalur,18389.0
M19 [Other Items],19.3,Tab. Fluconazole,5. Total Stock,Ariyalur,16298.0
M19 [Other Items],19.4,Blood Transfusion sets,1. Balance From Previous Month,Ariyalur,11703.0
M19 [Other Items],19.4,Blood Transfusion sets,2. Stocks Received,Ariyalur,3035.0
M19 [Other Items],19.4,Blood Transfusion sets,3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.4,Blood Transfusion sets,4. Stock Distributed,Ariyalur,3765.0
M19 [Other Items],19.4,Blood Transfusion sets,5. Total Stock,Ariyalur,10973.0
M19 [Other Items],19.5,Gluteraldehyde 2%,1. Balance From Previous Month,Ariyalur,153.0
M19 [Other Items],19.5,Gluteraldehyde 2%,2. Stocks Received,Ariyalur,289.0
M19 [Other Items],19.5,Gluteraldehyde 2%,3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.5,Gluteraldehyde 2%,4. Stock Distributed,Ariyalur,307.0
M19 [Other Items],19.5,Gluteraldehyde 2%,5. Total Stock,Ariyalur,135.0
M19 [Other Items],19.6,IFA tablets ( Adult),1. Balance From Previous Month,Ariyalur,783005.0
M19 [Other Items],19.6,IFA tablets ( Adult),2. Stocks Received,Ariyalur,1044400.0
M19 [Other Items],19.6,IFA tablets ( Adult),3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.6,IFA tablets ( Adult),4. Stock Distributed,Ariyalur,1184050.0
M19 [Other Items],19.6,IFA tablets ( Adult),5. Total Stock,Ariyalur,643355.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),1. Balance From Previous Month,Ariyalur,889544.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),2. Stocks Received,Ariyalur,420638.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),4. Stock Distributed,Ariyalur,404811.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),5. Total Stock,Ariyalur,905371.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),1. Balance From Previous Month,Ariyalur,196518.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),2. Stocks Received,Ariyalur,31800.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),4. Stock Distributed,Ariyalur,43051.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),5. Total Stock,Ariyalur,185267.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),1. Balance From Previous Month,Ariyalur,3951.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),2. Stocks Received,Ariyalur,16276.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),4. Stock Distributed,Ariyalur,17375.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),5. Total Stock,Ariyalur,2852.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),1. Balance From Previous Month,Ariyalur,199640.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),2. Stocks Received,Ariyalur,78095.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),4. Stock Distributed,Ariyalur,77653.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),5. Total Stock,Ariyalur,200082.0
M19 [Other Items],19.11,Vit A syrup,1. Balance From Previous Month,Ariyalur,8778.0
M19 [Other Items],19.11,Vit A syrup,2. Stocks Received,Ariyalur,32569.0
M19 [Other Items],19.11,Vit A syrup,3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.11,Vit A syrup,4. Stock Distributed,Ariyalur,32055.0
M19 [Other Items],19.11,Vit A syrup,5. Total Stock,Ariyalur,9292.0
M19 [Other Items],19.12,ORS (New WHO),1. Balance From Previous Month,Ariyalur,130785.0
M19 [Other Items],19.12,ORS (New WHO),2. Stocks Received,Ariyalur,107063.0
M19 [Other Items],19.12,ORS (New WHO),3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.12,ORS (New WHO),4. Stock Distributed,Ariyalur,124684.0
M19 [Other Items],19.12,ORS (New WHO),5. Total Stock,Ariyalur,118132.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),1. Balance From Previous Month,Ariyalur,29965.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),2. Stocks Received,Ariyalur,578.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),3. Unusable Stock,Ariyalur,0.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),4. Stock Distributed,Ariyalur,1915.0
